GeneID,G20,G21,O1,O2,O3,O4,G20.act,G21.act,O1.act,O2.act,O3.act,O4.act
Gm21748,0,0,0,0,0,0,0,0,0,0,0,1
Gm47283,95,48,66,14,80,41,49,48,47,22,274,27
Gm21860,0,0,0,0,0,0,0,0,0,0,0,1
Gm20837,0,0,0,0,0,0,0,0,0,0,0,0
Gm21996,0,0,0,0,0,0,0,0,0,0,0,0
Gm21294,0,0,0,0,0,0,0,0,0,0,0,0
Gm28102,0,0,0,0,0,0,0,0,0,0,0,0
Gm20906,0,0,0,0,0,0,0,0,0,0,0,0
Gm21477,0,0,0,0,0,0,0,0,0,0,0,0
Gm20820,0,0,0,0,0,0,0,0,0,0,0,0
Gm20854,0,0,0,0,0,0,0,0,0,0,0,0
Gm21409,0,0,0,0,0,0,0,0,0,0,0,0
Gm21394,0,0,0,0,0,0,0,0,0,0,0,0
Gm21095,0,0,0,0,0,0,0,0,0,0,0,0
Gm28827,0,0,0,0,0,0,0,0,0,0,0,0
Gm21317,0,0,0,0,0,0,0,0,0,0,0,0
Gm20911,0,0,0,0,0,0,0,0,0,0,0,0
Gm28897,0,0,0,0,0,0,0,0,0,0,0,0
Gm21760,0,0,0,0,0,0,0,0,0,0,0,0
Gm20916,0,0,0,0,0,0,0,0,0,0,0,0
Gm20917,0,0,0,0,0,0,0,0,0,0,0,0
Gm20806,0,0,0,0,0,0,0,0,0,0,0,0
Gm29564,0,0,0,0,0,0,0,0,0,0,0,0
Gm20867,0,0,0,0,0,0,0,0,0,0,0,0
Gm21650,0,0,0,0,0,0,0,0,0,0,0,0
Gm21173,0,0,0,0,0,0,0,0,0,0,0,0
Gm21776,0,0,0,0,0,0,0,0,0,0,0,0
Gm20850,0,0,0,0,0,0,0,0,0,0,0,0
Gm20814,0,0,0,0,0,0,0,0,0,0,0,0
Gm21913,0,0,0,0,0,0,0,0,0,0,0,0
Gm29110,0,0,0,0,0,0,0,0,0,0,0,0
Gm20903,0,0,0,0,0,0,0,0,0,0,0,0
Gm20843,0,0,0,0,0,0,0,0,0,0,0,0
Gm20870,0,0,0,0,0,0,0,0,0,0,0,0
Gm20869,0,0,0,0,0,0,0,0,0,0,0,0
Gm20888,0,0,0,0,0,0,0,0,0,0,0,0
4932431L22Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm29423,0,0,0,0,0,0,0,0,0,0,0,0
Gm29644,0,0,0,0,0,0,0,0,0,0,0,0
Gm21118,0,0,0,0,0,0,0,0,0,0,0,0
Gm28079,0,0,0,0,0,0,0,0,0,0,0,0
Gm33815,0,0,0,0,0,0,0,0,0,0,0,0
Gm20817,0,0,0,0,0,0,0,0,0,0,0,0
Gm20816,0,0,0,0,0,0,0,0,0,0,0,0
Gm20937,0,0,0,0,0,0,0,0,0,0,0,0
Ssty2,0,0,0,0,0,0,0,0,0,0,0,0
Gm20852,0,0,0,0,0,0,0,0,0,0,0,0
Gm20736,0,0,0,0,0,0,0,0,0,0,0,0
Gm20924,0,0,0,0,0,0,0,0,0,0,0,0
Gm20908,0,0,0,0,0,0,0,0,0,0,0,0
Gm21627,0,0,0,0,0,0,0,0,0,0,0,0
Gm20823,0,0,0,0,0,0,0,0,0,0,0,0
Gm21518,0,0,0,0,0,0,0,0,0,0,0,0
Gm21497,0,0,0,0,0,0,0,0,0,0,0,0
1700040F15Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm28891,0,0,0,0,0,0,0,0,0,0,0,0
Gm21861,0,0,0,0,0,0,0,0,0,0,0,0
Gm28961,0,0,0,0,0,0,0,0,0,0,0,0
Gm21943,0,0,0,0,0,0,0,0,0,0,0,0
Sly,0,0,0,0,0,0,0,0,0,0,0,0
Gm21858,0,0,0,0,0,0,0,0,0,0,0,0
Gm20931,0,0,0,0,0,0,0,0,0,0,0,0
Gm20929,0,0,0,0,0,0,0,0,0,0,0,0
Gm20747,0,0,0,0,0,0,0,0,0,0,0,0
Gm21258,0,0,0,0,0,0,0,0,0,0,0,0
Gm20920,0,0,0,0,0,0,0,0,0,0,0,0
Gm21117,0,0,0,0,0,0,0,0,0,0,0,0
Gm20883,0,0,0,0,0,0,0,0,0,0,0,0
Gm28870,0,0,0,0,0,0,0,0,0,0,0,0
Gm21209,0,0,0,0,0,0,0,0,0,0,0,0
Gm28553,0,0,0,0,0,0,0,0,0,0,0,0
Gm20792,0,0,0,0,0,0,0,0,0,0,0,0
Gm21170,0,0,0,0,0,0,0,0,0,0,0,0
Gm21256,0,0,0,0,0,0,0,0,0,0,0,0
Gm21783,0,0,0,0,0,0,0,0,0,0,0,0
Gm21739,0,0,0,0,0,0,0,0,0,0,0,0
Gm29276,0,0,0,0,0,0,0,0,0,0,0,0
Gm21800,0,0,0,0,0,0,0,0,0,0,0,0
Gm20795,0,0,0,0,0,0,0,0,0,0,0,0
Gm21797,0,0,0,0,0,0,0,0,0,0,0,0
Gm21852,0,0,0,0,0,0,0,0,0,0,0,0
Gm21882,0,0,0,0,0,0,0,0,0,0,0,0
Gm21865,0,0,0,0,0,0,0,0,0,0,0,0
Gm37032,0,0,0,0,0,0,0,0,0,0,0,0
Gm21732,0,0,0,0,0,0,0,0,0,0,0,0
Gm20897,0,0,0,0,0,0,0,0,0,0,0,0
Gm20738,0,0,0,0,0,0,0,0,0,0,0,0
Gm20905,0,0,0,0,0,0,0,0,0,0,0,0
Gm20835,0,0,0,0,0,0,0,0,0,0,0,0
Gm20896,0,0,0,0,0,0,0,0,0,0,0,0
Gm20855,0,0,0,0,0,0,0,0,0,0,0,0
Gm20838,0,0,0,0,0,0,0,0,0,0,0,0
Gm21094,0,0,0,0,0,0,0,0,0,0,0,0
Gm28490,0,0,0,0,0,0,0,0,0,0,0,0
Gm29582,0,0,0,0,0,0,0,0,0,0,0,0
Gm21679,0,0,0,0,0,0,0,0,0,0,0,0
Gm20894,0,0,0,0,0,0,0,0,0,0,0,0
Gm21488,0,0,0,0,0,0,0,0,0,0,0,0
Gm20890,0,0,0,0,0,0,0,0,0,0,0,0
Gm21773,0,0,0,0,0,0,0,0,0,0,0,0
Gm21921,0,0,0,0,0,0,0,0,0,0,0,0
Gm20809,0,0,0,0,0,0,0,0,0,0,0,0
Gm21366,0,0,0,0,0,0,0,0,0,0,0,0
Gm31571,0,0,0,0,0,0,0,0,0,0,0,0
Gm20865,0,0,0,0,0,0,0,0,0,0,0,0
Gm20909,0,0,0,0,0,0,0,0,0,0,0,0
Gm29866,0,0,0,0,0,0,0,0,0,0,0,0
Gm38094,0,0,0,0,0,0,0,0,0,0,0,0
Gm35134,0,0,0,0,0,0,0,0,0,0,0,0
Gm21822,0,0,0,0,0,0,0,0,0,0,0,0
Ssty1,0,0,0,0,0,0,0,0,0,0,0,0
Gm21764,0,0,0,0,0,0,0,0,0,0,0,0
Srsy,0,0,0,0,0,0,0,0,0,0,0,0
Gm20831,0,0,0,0,0,0,0,0,0,0,0,0
Gm20772,0,0,0,0,0,0,0,0,0,0,0,0
Gm21904,0,0,0,0,0,0,0,0,0,0,0,0
Rbm31y,0,0,0,0,0,0,0,0,0,0,0,0
Gm20877,0,0,0,0,0,0,0,0,0,0,0,0
Gm37158,0,0,0,0,0,0,0,0,0,0,0,0
Gm20822,0,0,0,0,0,0,0,0,0,0,0,0
Gm36987,0,0,0,0,0,0,0,0,0,0,0,0
Gm30737,0,0,0,0,0,0,0,0,0,0,0,0
Gm21767,0,0,0,0,0,0,0,0,0,0,0,0
Gm20773,0,0,0,0,0,0,0,0,0,0,0,0
Gm21866,0,0,0,0,0,0,0,0,0,0,0,0
Gm21725,0,0,0,0,0,0,0,0,0,0,0,0
Gm21454,0,0,0,0,0,0,0,0,0,0,0,0
Gm21440,0,0,0,0,0,0,0,0,0,0,0,0
Gm21828,0,0,0,0,0,0,0,0,0,0,0,0
Gm21425,0,0,0,0,0,0,0,0,0,0,0,0
Gm21891,0,0,0,0,0,0,0,0,0,0,0,0
Gm20807,0,0,0,0,0,0,0,0,0,0,0,0
Gm21379,0,0,0,0,0,0,0,0,0,0,0,0
Gm20812,0,0,0,0,0,0,0,0,0,0,0,0
Gm29554,0,0,0,0,0,0,0,0,0,0,0,0
Gm20828,0,0,0,0,0,0,0,0,0,0,0,0
Gm20777,0,0,0,0,0,0,0,0,0,0,0,0
Gm21900,0,0,0,0,0,0,0,0,0,0,0,0
Gm21775,0,0,0,0,0,0,0,0,0,0,0,0
Gm20737,0,0,0,0,0,0,0,0,0,0,0,0
Gm28510,0,0,0,0,0,0,0,0,0,0,0,0
Gm20834,0,0,0,0,0,0,0,0,0,0,0,0
Gm21310,0,0,0,0,0,0,0,0,0,0,0,0
Gm20821,0,0,0,0,0,0,0,0,0,0,0,0
Gm21874,0,0,0,0,0,0,0,0,0,0,0,0
Gm21812,0,0,0,0,0,0,0,0,0,0,0,0
Gm21721,0,0,0,0,0,0,0,0,0,0,0,0
Gm21292,0,0,0,0,0,0,0,0,0,0,0,0
Gm20815,0,0,0,0,0,0,0,0,0,0,0,0
Gm20824,0,0,0,0,0,0,0,0,0,0,0,0
Gm37951,0,0,0,0,0,0,0,0,0,0,0,0
Gm20825,0,0,0,0,0,0,0,0,0,0,0,0
Gm29049,0,0,0,0,0,0,0,0,0,0,0,0
Gm28576,0,0,0,0,0,0,0,0,0,0,0,0
Gm20826,0,0,0,0,0,0,0,0,0,0,0,2
Gm21788,0,0,0,0,0,0,0,0,0,0,0,0
Gm28998,0,0,0,0,0,0,0,0,0,0,0,0
Gm21244,0,0,0,0,0,0,0,0,0,0,0,0
Gm20830,0,0,0,0,0,0,0,0,0,0,0,0
Gm21719,0,0,0,0,0,0,0,0,0,0,0,0
Gm28919,0,0,0,0,0,0,0,0,0,0,0,0
Gm20873,0,0,0,0,0,0,0,0,0,0,0,0
Gm21746,0,0,0,0,0,0,0,0,0,0,0,0
Gm21778,0,0,0,0,0,0,0,0,0,0,0,0
Gm37236,0,0,0,0,0,0,0,0,0,0,0,0
Gm28171,0,0,0,0,0,0,0,0,0,0,0,0
Gm20914,0,0,0,0,0,0,0,0,0,0,0,0
Gm21854,0,0,0,0,0,0,0,0,0,0,0,0
Gm21820,0,0,0,0,0,0,0,0,0,0,0,0
Gm20918,0,0,0,0,0,0,0,0,0,0,0,0
Gm37222,0,0,0,0,0,0,0,0,0,0,0,0
Gm3376,0,0,0,0,0,0,0,0,0,0,0,0
Gm21708,0,0,0,0,0,0,0,0,0,0,0,0
Gm21704,0,0,0,0,0,0,0,0,0,0,0,0
Gm21693,0,0,0,0,0,0,0,0,0,0,0,0
Gm21677,0,0,0,0,0,0,0,0,0,0,0,0
Gm29289,0,0,0,0,0,0,0,0,0,0,0,0
Gm10352,0,0,0,0,0,0,0,0,0,0,0,0
Gm10256,0,0,0,0,0,0,0,0,0,0,0,0
Rbmy1a1,0,0,0,0,0,0,0,0,0,0,0,0
Gm4064,0,0,0,0,0,0,0,0,0,0,0,0
H2al2b,0,0,0,0,0,0,0,0,0,0,0,0
Sry,0,0,0,0,0,0,0,0,0,0,0,0
H2al2c,0,0,0,0,0,0,0,0,0,0,0,0
Zfy2,0,0,0,0,0,0,0,0,0,0,0,0
Usp9y,0,0,0,0,0,0,0,0,0,0,0,0
Ddx3y,2909,2807,1951,2110,2762,2048,1736,2855,1355,2079,1618,2138
Uty,531,819,421,527,649,533,735,766,634,860,748,699
Eif2s3y,1990,2459,1975,1616,1599,1757,2718,3075,2215,2793,2179,2106
Kdm5d,973,1267,860,726,921,961,884,1166,810,1202,975,968
Uba1y,0,0,0,0,0,0,0,0,0,0,0,0
Zfy1,0,0,0,0,0,0,0,0,0,0,0,0
Asmt,0,0,3,5,18,8,0,0,4,0,2,2
Gm21887,25,16,9,11,254,22,16,22,52,2,13,8
4933400A11Rik,0,0,0,0,0,0,0,0,0,0,0,0
Mid1,70,104,69,34,68,92,31,83,23,7,37,58
Hccs,1003,1004,944,628,1240,576,975,1660,806,1023,1033,1058
Amelx,0,0,0,0,0,0,0,0,0,0,0,0
Arhgap6,10,0,2,10,24,0,81,105,40,27,59,54
Msl3,1024,705,937,518,699,535,710,1286,531,643,656,943
Frmpd4,0,0,0,0,0,0,2,0,0,0,0,0
Prps2,1302,901,1073,706,950,584,659,1454,600,804,798,1027
Tlr7,72,18,32,6,14,12,2,8,2,18,6,4
Tlr8,0,0,0,0,0,0,0,0,2,0,0,0
Tmsb4x,90781,133839,100741,80596,128075,119603,131654,166250,105772,158477,136297,142974
Egfl6,4,0,0,0,0,0,0,0,0,0,0,0
Tceanc,135,199,111,128,101,140,100,106,80,96,108,115
Rab9,412,411,287,234,466,274,379,451,332,273,295,377
Trappc2,80,118,128,114,147,117,125,199,68,120,115,168
Ofd1,755,496,540,340,574,493,402,687,298,501,430,546
Gpm6b,92,128,106,54,82,35,67,156,66,69,80,84
Gemin8,72,96,70,51,41,46,81,125,64,101,105,119
Glra2,0,0,0,0,0,0,0,0,0,0,0,0
Gm17604,0,0,0,0,0,0,0,0,0,0,0,0
Fancb,229,115,136,133,102,121,11,208,11,41,45,140
Mospd2,445,572,514,425,574,349,388,596,279,484,380,444
Asb9,0,0,0,0,0,0,0,0,0,0,0,0
Asb11,0,0,0,0,0,0,0,0,0,0,0,0
Piga,693,940,663,476,617,710,399,871,454,596,548,639
